 -----------------------------------------------------------------------------
  values at 130 km altitude above aeroid (130 km)
 -----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2010-07-05T06:37:45.593
 Measurement time (130 km)               [ERT-OWLT] :  2010-07-05T06:29:04.039
 Solar longitude (130 km)                     [deg] :      333.59
 Planet to Sun distance (130 km)          [10^6 km] :     108.073
 North planetary latitude (130 km)            [deg] :        5.89
 East planetary longitude (130 km)            [deg] :      176.30
 Sub-solar north planetary latitude (130 km)  [deg] :       -1.17
 Sub-solar east planetary longitude (130 km)  [deg] :      153.82
 Aeroid radius (130 km)                        [km] :    6051.800
 MOLA radius (130 km)                          [km] :   -9999.999
 Local true solar time (130 km)               [hrs] :       10.50
 Solar zenith angle (130 km)                  [deg] :       23.53
 Electron density (130 km)               [10^6/m^3] :   216209.65

=========================================================================

Altitude	ELECTRON NUMBER DENSITY
3410.626	7623.83
3410.107	7611.52
3409.587	8040.57
3409.073	7597.45
3408.553	6820.24
3408.034	6955.64
3407.514	7514.81
3406.998	7402.27
3406.475	8005.4
3405.959	8977.79
3405.443	8161.9
3404.922	8010.68
3404.405	8395.77
3403.885	8648.97
3403.369	8515.34
3402.851	7922.76
3402.331	8089.8
3401.813	8422.14
3401.294	8627.87
3400.776	8852.95
3400.259	8474.89
3399.738	8710.52
3399.221	9297.82
3398.704	9041.1
3398.187	8357.08
3397.665	8617.32
3397.148	9317.16
3396.631	8998.9
3396.111	9143.08
3395.593	9582.68
3395.077	9283.76
3394.555	9749.73
3394.038	10558.59
3393.523	9834.13
3393.004	9129.02
3392.485	9246.83
3391.966	9507.07
3391.447	10106.68
3390.93	10516.39
3390.415	9616.09
3389.894	9327.72
3389.378	9551.03
3388.858	9494.76
3388.337	10516.39
3387.824	10442.54
3387.305	9607.3
3386.79	8597.98
3386.268	8371.15
3385.748	9642.47
3385.23	10454.85
3384.712	11079.08
3384.193	11814.09
3383.675	12578.99
3383.158	12972.87
3382.641	12848.02
3382.125	12065.54
3381.601	12779.45
3381.091	12791.75
3380.571	11416.69
3380.05	12051.47
3379.534	12429.52
3379.014	12819.89
3378.5	12797.03
3377.982	11912.56
3377.465	11216.23
3376.946	10978.85
3376.427	11483.51
3375.911	11402.62
3375.395	10488.26
3374.873	10486.5
3374.356	11163.48
3373.836	11961.79
3373.324	11471.2
3372.802	10915.55
3372.284	11622.42
3371.767	11557.36
3371.25	11249.64
3370.731	11469.44
3370.215	11372.73
3369.697	10948.96
3369.18	10737.95
3368.662	10572.66
3368.146	10192.85
3367.626	10096.13
3367.109	10400.34
3366.59	10488.26
3366.074	10324.73
3365.556	9876.33
3365.037	10060.97
3364.522	9966.01
3364.002	9892.16
3363.486	9874.58
3362.966	10024.04
3362.451	9967.77
3361.932	9718.08
3361.414	10198.12
3360.897	10454.85
3360.379	10681.68
3359.866	9674.12
3359.346	8784.37
3358.826	9500.04
3358.311	9591.47
3357.793	9213.42
3357.277	8798.44
3356.757	8754.48
3356.243	8320.15
3355.722	8172.45
3355.204	8998.9
3354.69	8508.3
3354.168	8714.03
3353.652	9642.47
3353.135	9651.26
3352.617	9781.38
3352.098	10314.17
3351.582	10481.22
3351.062	10971.81
3350.548	11217.99
3350.034	9827.1
3349.513	9477.18
3348.996	9890.4
3348.477	10213.95
3347.959	11165.24
3347.444	11258.43
3346.927	10641.24
3346.411	9907.99
3345.894	9257.38
3345.376	9141.33
3344.857	9493
3344.341	9665.33
3343.824	9482.45
3343.304	10127.78
3342.791	10032.83
3342.271	9529.93
3341.752	10402.09
3341.239	10155.92
3340.722	9056.92
3340.202	9336.51
3339.687	9452.56
3339.169	9229.24
3338.651	9700.49
3338.135	9670.6
3337.62	8682.38
3337.1	8575.12
3336.585	8597.98
3336.065	8638.42
3335.549	9100.88
3335.031	9095.61
3334.516	8912.73
3333.999	8501.27
3333.48	8881.08
3332.964	9074.51
3332.449	8156.62
3331.928	8365.87
3331.413	8861.74
3330.897	8144.31
3330.38	7776.81
3329.864	7472.61
3329.342	8160.14
3328.827	8974.28
3328.311	8798.44
3327.791	9522.9
3327.274	10477.71
3326.761	9869.3
3326.245	8596.22
3325.729	7697.68
3325.209	7676.58
3324.694	7829.56
3324.177	7549.98
3323.662	6945.09
3323.143	6563.52
3322.626	6779.8
3322.109	6820.24
3321.593	6591.65
3321.077	6174.91
3320.556	6857.17
3320.041	7602.73
3319.526	6955.64
3319.008	6581.1
3318.49	7182.47
3317.976	7073.45
3317.459	6466.81
3316.942	6310.31
3316.425	6264.59
3315.91	5791.58
3315.389	6097.54
3314.875	6589.89
3314.358	6176.67
